habilidade_id,no_id_origem,ordem,texto,no_id_destino,correta,feedback
EF.09.MAT.2.92,e1,1,Eu travo. Não sei por onde começar.,e2_nao_sabe,TRUE,Ótimo ponto de partida: vamos construir desde o começo.
EF.09.MAT.2.92,e1,2,Penso em 'elevar cada termo' e pronto.,e2_erro_inicial,TRUE,Essa é uma ideia comum. Vamos investigar se está faltando algo.
EF.09.MAT.2.92,e1,3,"Penso em multiplicar \( (a+b) \) por \( (a+b) \), usando o 'chuveirinho'.",e2_caminho_bom,TRUE,"Muito bem, você já pensa na estrutura do produto."
EF.09.MAT.2.92,e1,4,Eu já conheço a regra pronta e uso direto.,e2_avancado,TRUE,"Excelente, vamos ver se você também entende a origem da regra."
EF.09.MAT.2.92,e2_nao_sabe,1,"Entendido, continuar ➔",e3_nao_sabe_q1,TRUE,Vamos seguir passo a passo.
EF.09.MAT.2.92,e3_nao_sabe_q1,1,"É 'vezes ele mesmo', ou seja, multiplicar o número por ele mesmo.",e3_nao_sabe_q2,TRUE,Perfeito. Esse é o ponto crucial.
EF.09.MAT.2.92,e3_nao_sabe_q1,2,É 'vezes dois'.,e3_nao_sabe_corrige,FALSE,Esse é um erro comum. Vamos ajustar isso.
EF.09.MAT.2.92,e3_nao_sabe_q1,3,Não tenho certeza.,e3_nao_sabe_corrige,FALSE,Sem problema. Vamos clarear essa ideia.
EF.09.MAT.2.92,e3_nao_sabe_corrige,1,"Entendido, continuar ➔",e3_nao_sabe_q2,TRUE,Vamos seguir passo a passo.
EF.09.MAT.2.92,e3_nao_sabe_q2,1,"Entendido, continuar ➔",e3_distributiva_intro,TRUE,Vamos seguir passo a passo.
EF.09.MAT.2.92,e2_erro_inicial,1,"Entendido, continuar ➔",e3_distributiva_intro,TRUE,Vamos seguir passo a passo.
EF.09.MAT.2.92,e2_caminho_bom,1,"Entendido, continuar ➔",e3_distributiva_intro,TRUE,Vamos seguir passo a passo.
EF.09.MAT.2.92,e2_avancado,1,"Entendido, continuar ➔",e3_distributiva_intro,TRUE,Vamos seguir passo a passo.
EF.09.MAT.2.92,e3_distributiva_intro,1,"Entendido, continuar ➔",e3_distributiva,TRUE,Vamos seguir passo a passo.
EF.09.MAT.2.92,e3_distributiva,1,"\( a \cdot a \), \( a \cdot b \), \( b \cdot a \), \( b \cdot b \)",e4_agrupamento,TRUE,Perfeito. Esses são os quatro produtos que surgem.
EF.09.MAT.2.92,e3_distributiva,2,"\( a \cdot a \), \( b \cdot b \)",e4_recuperacao_parcial,FALSE,Você anotou apenas os extremos. Faltaram os cruzamentos.
EF.09.MAT.2.92,e3_distributiva,3,\( a \cdot b \) e \( b \cdot a \) apenas.,e4_recuperacao_parcial,FALSE,Você anotou apenas os cruzados. Faltaram os quadrados.
EF.09.MAT.2.92,e4_recuperacao_parcial,1,"Entendido, continuar ➔",e4_agrupamento,TRUE,Vamos seguir passo a passo.
EF.09.MAT.2.92,e4_agrupamento,1,"\( a^2 \), \( ab \), \( ba \), \( b^2 \)",e5_agrupa_ab,TRUE,Correto. Agora vamos analisar \( ab \) e \( ba \).
EF.09.MAT.2.92,e4_agrupamento,2,"\( a^2 \), \( b^2 \), \( 2ab \)",e5_agrupa_ab_recupera,FALSE,"Você já deu um passo à frente, mas vamos chegar a \( 2ab \) com calma."
EF.09.MAT.2.92,e4_agrupamento,3,"\( a^2 \), \( a^2 \), \( b^2 \), \( b^2 \)",e5_agrupa_ab_recupera,FALSE,Você repetiu os quadrados. Vamos olhar os cruzados.
EF.09.MAT.2.92,e5_agrupa_ab_recupera,1,"Entendido, continuar ➔",e5_agrupa_ab,TRUE,Vamos seguir passo a passo.
EF.09.MAT.2.92,e5_agrupa_ab,1,Eles se somam e viram \( 2ab \).,e6_forma_padrao,TRUE,Isso mesmo. É daí que nasce o termo do meio.
EF.09.MAT.2.92,e5_agrupa_ab,2,Um cancela o outro e desaparecem.,e5_agrupa_ab_corrige,FALSE,Isso só aconteceria se um fosse \( +ab \) e o outro \( -ab \).
EF.09.MAT.2.92,e5_agrupa_ab,3,Eles viram \( a^2 \).,e5_agrupa_ab_corrige,FALSE,"O termo \( a^2 \) vem de \( a \cdot a \), não de \( ab \)."
EF.09.MAT.2.92,e5_agrupa_ab_corrige,1,"Entendido, continuar ➔",e6_forma_padrao,TRUE,Vamos seguir passo a passo.
EF.09.MAT.2.92,e6_forma_padrao,1,"Entendido, continuar ➔",e7_geometria,TRUE,Vamos seguir passo a passo.
EF.09.MAT.2.92,e7_geometria,1,"Entendido, continuar ➔",e8_geometria_q1,,Vamos seguir passo a passo.
EF.09.MAT.2.92,e8_geometria_q1,1,\( a^2 + ab + ab + b^2 \),e8_geometria_q2,TRUE,Correto. Isso é igual à área total \( (a + b)^2 \).
EF.09.MAT.2.92,e8_geometria_q1,2,\( a^2 + b^2 \),e8_geometria_corrige,FALSE,Você esqueceu os dois retângulos \( ab \).
EF.09.MAT.2.92,e8_geometria_q1,3,\( 2a + 2b \),e8_geometria_corrige,FALSE,"Isso lembra perímetro, não área."
EF.09.MAT.2.92,e8_geometria_corrige,1,"Entendido, continuar ➔",e8_geometria_q2,TRUE,Vamos seguir passo a passo.
EF.09.MAT.2.92,e8_geometria_q2,1,\( a^2 + 2ab + b^2 \),e9_conexao_regras,TRUE,Perfeito. É a mesma expressão que encontramos pela multiplicação.
EF.09.MAT.2.92,e8_geometria_q2,2,\( a^2 + b^2 \),e8_geometria_corrige2,FALSE,Vamos lembrar dos dois retângulos novamente.
EF.09.MAT.2.92,e8_geometria_q2,3,\( 2(a + b) \),e8_geometria_corrige2,FALSE,Perímetro não é área.
EF.09.MAT.2.92,e8_geometria_corrige2,1,"Entendido, continuar ➔",e9_conexao_regras,TRUE,Vamos seguir passo a passo.
EF.09.MAT.2.92,e9_conexao_regras,1,"Entendido, continuar ➔",e10_comparar_outros,TRUE,Vamos seguir passo a passo.
EF.09.MAT.2.92,e10_comparar_outros,1,\( (a + b)(a - b) \),e11_diferenca_quadrados,TRUE,Correto. Essa é a diferença de quadrados.
EF.09.MAT.2.92,e10_comparar_outros,2,\( (a - b)^2 \),e10_corrige_outros,FALSE,Essa gera \( a^2 - 2ab + b^2 \).
EF.09.MAT.2.92,e10_comparar_outros,3,\( (a + b)^2 \),e10_corrige_outros,FALSE,Essa gera \( a^2 + 2ab + b^2 \).
EF.09.MAT.2.92,e10_corrige_outros,1,"Entendido, continuar ➔",e11_diferenca_quadrados,TRUE,Vamos seguir passo a passo.
EF.09.MAT.2.92,e11_diferenca_quadrados,1,"Entendido, continuar ➔",e12_erro_x_5,,Vamos seguir passo a passo.
EF.09.MAT.2.92,e12_erro_x_5,1,Onde foram parar os produtos cruzados \( x \cdot 5 \) e \( 5 \cdot x \)?,e13_pesquisa,TRUE,Excelente pergunta. Ela obriga o colega a reconstruir a distributiva.
EF.09.MAT.2.92,e12_erro_x_5,2,Você decorou a fórmula errada?,e12_corrige_pergunta,FALSE,"Isso culpa o colega, mas não o ajuda a pensar melhor."
EF.09.MAT.2.92,e12_erro_x_5,3,Quer que eu te dê a resposta?,e12_corrige_pergunta,FALSE,Nosso objetivo é que ele mesmo reconstrua.
EF.09.MAT.2.92,e12_corrige_pergunta,1,"Entendido, continuar ➔",e13_pesquisa,TRUE,Vamos seguir passo a passo.
EF.09.MAT.2.92,e13_pesquisa,1,"Entendido, continuar ➔",e14_aplicar,TRUE,Vamos seguir passo a passo.
EF.09.MAT.2.92,e14_aplicar,1,\( x^2 + 9 \),e14_feedback_errado1,FALSE,Você considerou apenas os quadrados. Faltou o termo do meio.
EF.09.MAT.2.92,e14_aplicar,2,\( x^2 + 6x + 9 \),e14_feedback_correto,TRUE,Muito bem! Você aplicou corretamente o padrão.
EF.09.MAT.2.92,e14_aplicar,3,\( x^2 + 3x + 9 \),e14_feedback_errado2,FALSE,"Faltou perceber que o termo do meio é \( 2 \cdot x \cdot 3 \), não apenas \( x \cdot 3 \)."
EF.09.MAT.2.92,e14_aplicar,4,\( x^2 - 6x + 9 \),e14_feedback_errado3,FALSE,"Esse padrão aparece em \( (x - 3)^2 \), não em \( (x + 3)^2 \)."
EF.09.MAT.2.92,e14_feedback_errado1,1,"Entendido, continuar ➔",e15_desafio_extra,TRUE,Vamos seguir passo a passo.
EF.09.MAT.2.92,e14_feedback_errado2,1,"Entendido, continuar ➔",e15_desafio_extra,TRUE,Vamos seguir passo a passo.
EF.09.MAT.2.92,e14_feedback_errado3,1,"Entendido, continuar ➔",e15_desafio_extra,TRUE,Vamos seguir passo a passo.
EF.09.MAT.2.92,e14_feedback_correto,1,"Entendido, continuar ➔",e15_desafio_extra,TRUE,Vamos seguir passo a passo.
EF.09.MAT.2.92,e15_desafio_extra,1,\( 4x^2 - 10x + 25 \),e15_feedback_errado_a,FALSE,Observe o termo do meio: ele parece diferente do padrão \( a^2 - 2ab + b^2 \).
EF.09.MAT.2.92,e15_desafio_extra,2,\( 4x^2 - 20x + 25 \),e15_feedback_correto_a,TRUE,Muito bom. Você aplicou o padrão com \( a = 2x \) e \( b = 5 \).
EF.09.MAT.2.92,e15_desafio_extra,3,\( 4x^2 + 20x + 25 \),e15_feedback_errado_b,FALSE,Cuidado com o sinal. Aqui temos \( (a - b)^2 \).
EF.09.MAT.2.92,e15_desafio_extra,4,\( 4x^2 + 10x + 25 \),e15_feedback_errado_b,FALSE,Também não bate com o padrão \( (a - b)^2 \).
EF.09.MAT.2.92,e15_feedback_errado_a,1,"Entendido, continuar ➔",e16_reflexao_final,TRUE,Vamos seguir passo a passo.
EF.09.MAT.2.92,e15_feedback_errado_b,1,"Entendido, continuar ➔",e16_reflexao_final,TRUE,Vamos seguir passo a passo.
EF.09.MAT.2.92,e15_feedback_correto_a,1,"Entendido, continuar ➔",e16_reflexao_final,TRUE,Vamos seguir passo a passo.
EF.09.MAT.2.92,e16_reflexao_final,1,"São multiplicações tão frequentes que ganham uma forma padrão, mas que eu consigo reconstruir usando distributiva e geometria.",e_final,TRUE,Essa visão dá segurança para resolver problemas novos.
EF.09.MAT.2.92,e16_reflexao_final,2,São fórmulas prontas que eu devo decorar sem pensar muito.,e_final,TRUE,"Você pode até usar fórmulas, mas entender sua origem dá mais autonomia."
EF.09.MAT.2.92,e16_reflexao_final,3,São truques que só servem para prova.,e_final,TRUE,"Na verdade, elas aparecem em vários problemas algébricos e geométricos."
EF.09.MAT.2.92,e_final,1,\( (a + b)^2 = a^2 + 2ab + b^2 \),,FALSE,
EF.09.MAT.2.92,e_final,2,\( (a - b)^2 = a^2 - 2ab + b^2 \),,FALSE,
EF.09.MAT.2.92,e_final,3,\( (a + b)(a - b) = a^2 - b^2 \),,FALSE,
EF.09.MAT.2.92,e_final,4,Todas as afirmativas acima estão corretas.,,TRUE,
EF.09.MAT.2.93,e1,1,Eu travo. Não sei por onde começar.,e2_nao_sabe,TRUE,Ótimo ponto de partida. Vamos construir a ideia passo a passo.
EF.09.MAT.2.93,e1,2,Penso em tentar 'juntar tudo' ou fazer alguma conta direta.,e2_nao_sabe,TRUE,Vamos ver se faz sentido tratar isso como 'uma coisa só' ou se há estrutura escondida.
EF.09.MAT.2.93,e1,3,"Penso que isso pode ser o resultado de algum produto notável, como \( (x+3)^2 \).",e2_produto_notavel,TRUE,"Ótimo, você já suspeita da origem da expressão."
EF.09.MAT.2.93,e1,4,"Vejo que é um polinômio de 2º grau, mas não sei como fatorar.",e2_polinomio,TRUE,"Excelente, você já identifica o tipo. Falta conectar com a fatoração."
EF.09.MAT.2.93,e1,5,Minha primeira ideia é aplicar Bhaskara direto.,e2_bhaskara,TRUE,"Bhaskara ajuda, mas vamos ver um caminho mais estrutural primeiro."
EF.09.MAT.2.93,e2_nao_sabe,1,"Entendido, continuar ➔",e3_tipo_termos,,Vamos seguir passo a passo.
EF.09.MAT.2.93,e2_produto_notavel,1,"Entendido, continuar ➔",e3_tipo_termos,,Vamos seguir passo a passo.
EF.09.MAT.2.93,e2_polinomio,1,"Entendido, continuar ➔",e3_tipo_termos,,Vamos seguir passo a passo.
EF.09.MAT.2.93,e2_bhaskara,1,"Entendido, continuar ➔",e3_tipo_termos,,Vamos seguir passo a passo.
EF.09.MAT.2.93,e3_tipo_termos,1,"Todos são 'do mesmo tipo', só com números diferentes.",e3_corrige_tipos,FALSE,"Vamos diferenciar melhor potência, variável e constante."
EF.09.MAT.2.93,e3_tipo_termos,2,"\( x^2 \) é termo quadrático, \( 6x \) é termo linear e \( 9 \) é termo constante.",e4_quadrado_perfeito,TRUE,Perfeito. Essa é a estrutura típica de um polinômio de 2º grau.
EF.09.MAT.2.93,e3_tipo_termos,3,Não sei bem como classificar.,e3_corrige_tipos,FALSE,Sem problema. Vamos organizar isso juntos.
EF.09.MAT.2.93,e3_corrige_tipos,1,"Entendido, continuar ➔",e4_quadrado_perfeito,,Vamos seguir passo a passo.
EF.09.MAT.2.93,e4_quadrado_perfeito,1,"Não, não vejo relação.",e4_recupera_padroes,FALSE,Vamos comparar termo a termo com \( a^2 + 2ab + b^2 \).
EF.09.MAT.2.93,e4_quadrado_perfeito,2,Estou em dúvida. Pode ser ou não.,e4_recupera_padroes,FALSE,"Ótimo, a dúvida é um bom ponto para investigar com calma."
EF.09.MAT.2.93,e4_quadrado_perfeito,3,"Sim, parece um quadrado perfeito.",e5_identifica_a_b,TRUE,Boa suspeita. Vamos identificar \( a \) e \( b \).
EF.09.MAT.2.93,e4_recupera_padroes,1,"Entendido, continuar ➔",e5_identifica_a_b,,Vamos seguir passo a passo.
EF.09.MAT.2.93,e5_identifica_a_b,1,"Entendido, continuar ➔",e5_identifica_a_b_q,,Vamos seguir passo a passo.
EF.09.MAT.2.93,e5_identifica_a_b_q,1,\( a = 3 \) e \( b = x \).,e5_corrige_ab,FALSE,"A ordem pode ser trocada, mas é mais natural deixar a variável como \( a \)."
EF.09.MAT.2.93,e5_identifica_a_b_q,2,\( a = x^2 \) e \( b = 9 \).,e5_corrige_ab,FALSE,"Se \( a = x^2 \), então \( a^2 = x^4 \), o que não bate com \( x^2 \)."
EF.09.MAT.2.93,e5_identifica_a_b_q,3,\( a = x \) e \( b = 3 \).,e6_confere_meio,TRUE,Boa escolha. Agora vamos conferir o termo do meio usando \( 2ab \).
EF.09.MAT.2.93,e5_corrige_ab,1,"Entendido, continuar ➔",e6_confere_meio,,Vamos seguir passo a passo.
EF.09.MAT.2.93,e6_confere_meio,1,\( 2ab = 5x \).,e6_corrige_meio,FALSE,Refaça a conta: \( 2 \cdot x \cdot 3 \).
EF.09.MAT.2.93,e6_confere_meio,2,\( 2ab = 2x + 3 \).,e6_corrige_meio,FALSE,"Aqui não estamos somando, estamos multiplicando."
EF.09.MAT.2.93,e6_confere_meio,3,\( 2ab = 2 \cdot x \cdot 3 = 6x \).,e7_conclui_quadrado_perfeito,TRUE,Perfeito. O termo do meio coincide com \( 6x \).
EF.09.MAT.2.93,e6_corrige_meio,1,"Entendido, continuar ➔",e7_conclui_quadrado_perfeito,,Vamos seguir passo a passo.
EF.09.MAT.2.93,e7_conclui_quadrado_perfeito,1,"Entendido, continuar ➔",e8_significado_fatorar,,Vamos seguir passo a passo.
EF.09.MAT.2.93,e8_significado_fatorar,1,Significa apenas 'deixar menor'.,e8_corrige_significado,FALSE,Nem sempre a forma fatorada é 'menor'; ela é mais estruturada.
EF.09.MAT.2.93,e8_significado_fatorar,2,Significa já resolver a equação.,e8_corrige_significado,FALSE,"Resolver equação usa fatoração, mas não é a mesma coisa."
EF.09.MAT.2.93,e8_significado_fatorar,3,"Significa reescrever o polinômio como um produto, em vez de soma de termos.",e9_reverso,TRUE,Exatamente. Fatorar é enxergar a expressão em forma de produto.
EF.09.MAT.2.93,e8_corrige_significado,1,"Entendido, continuar ➔",e9_reverso,,Vamos seguir passo a passo.
EF.09.MAT.2.93,e9_reverso,1,"Entendido, continuar ➔",e10_reexpansao,,Vamos seguir passo a passo.
EF.09.MAT.2.93,e10_reexpansao,1,\( x^2 + 9 \).,e10_corrige_reexpansao,FALSE,Você esqueceu os produtos cruzados \( x \cdot 3 \) e \( 3 \cdot x \).
EF.09.MAT.2.93,e10_reexpansao,2,\( x^2 + 3x + 9 \).,e10_corrige_reexpansao,FALSE,Faltou multiplicar por 2 no termo do meio.
EF.09.MAT.2.93,e10_reexpansao,3,\( x^2 + 6x + 9 \).,e10_confirma_equiv,TRUE,Perfeito. Isso confirma a equivalência.
EF.09.MAT.2.93,e10_corrige_reexpansao,1,"Entendido, continuar ➔",e10_confirma_equiv,,Vamos seguir passo a passo.
EF.09.MAT.2.93,e10_confirma_equiv,1,"Entendido, continuar ➔",e11_equacao_2grau,,Vamos seguir passo a passo.
EF.09.MAT.2.93,e11_equacao_2grau,1,"Substituir e escrever \( (x + 3)^2 = 0 \), depois perguntar quando um quadrado é zero.",e12_produto_nulo,TRUE,Excelente abordagem.
EF.09.MAT.2.93,e11_equacao_2grau,2,Dividir tudo por 9 para simplificar.,e11_corrige_equacao,FALSE,Dividir não explora bem a estrutura do quadrado perfeito.
EF.09.MAT.2.93,e11_equacao_2grau,3,Aplicar Bhaskara direto e ignorar a fatoração.,e11_corrige_equacao,FALSE,Vamos aproveitar que já temos uma forma fatorada simples.
EF.09.MAT.2.93,e11_corrige_equacao,1,"Entendido, continuar ➔",e12_produto_nulo,,Vamos seguir passo a passo.
EF.09.MAT.2.93,e12_produto_nulo,1,Que \( x + 3 \) pode ser qualquer número.,e12_corrige_produto_nulo,FALSE,"Se a base fosse qualquer número não nulo, o quadrado não seria zero."
EF.09.MAT.2.93,e12_produto_nulo,2,Que \( x + 3 \) é necessariamente positivo.,e12_corrige_produto_nulo,FALSE,"Aqui estamos impondo que o quadrado seja zero, não apenas positivo."
EF.09.MAT.2.93,e12_produto_nulo,3,"Que \( x + 3 \) precisa ser zero, porque um quadrado só é zero quando a base é zero.",e13_encontra_raiz,TRUE,Correto. Esse é o princípio central.
EF.09.MAT.2.93,e12_corrige_produto_nulo,1,"Entendido, continuar ➔",e13_encontra_raiz,,Vamos seguir passo a passo.
EF.09.MAT.2.93,e13_encontra_raiz,1,\( x = 3 \).,e13_corrige_raiz,FALSE,Cuidado: precisamos 'anular' o \(+3\).
EF.09.MAT.2.93,e13_encontra_raiz,2,\( x = -3 \).,e14_interpreta_raiz,TRUE,Perfeito. Essa é a raiz da equação.
EF.09.MAT.2.93,e13_encontra_raiz,3,\( x = 0 \).,e13_corrige_raiz,FALSE,Verifique: \( 0 + 3 \) resulta em 0?
EF.09.MAT.2.93,e13_corrige_raiz,1,"Entendido, continuar ➔",e14_interpreta_raiz,,Vamos seguir passo a passo.
EF.09.MAT.2.93,e14_interpreta_raiz,1,"Entendido, continuar ➔",e15_outros_exemplos,,Vamos seguir passo a passo.
EF.09.MAT.2.93,e15_outros_exemplos,1,\( (x + 5)^2 \).,e15_feedback_errado1,FALSE,Verifique o sinal do termo do meio.
EF.09.MAT.2.93,e15_outros_exemplos,2,\( (x - 5)^2 \).,e15_feedback_correto1,TRUE,"Muito bem, isso indica outro trinômio quadrado perfeito."
EF.09.MAT.2.93,e15_outros_exemplos,3,\( (x - 25)^2 \).,e15_feedback_errado1,FALSE,Observe qual número ao quadrado dá 25.
EF.09.MAT.2.93,e15_outros_exemplos,4,"Não sei, não parece produto notável.",e15_feedback_errado1,FALSE,Vamos analisar termo a termo.
EF.09.MAT.2.93,e15_feedback_errado1,1,"Entendido, continuar ➔",e15_feedback_correto1,,Vamos seguir passo a passo.
EF.09.MAT.2.93,e15_feedback_correto1,1,"Entendido, continuar ➔",e16_diferenca_quadrados,,Vamos seguir passo a passo.
EF.09.MAT.2.93,e16_diferenca_quadrados,1,"Entendido, continuar ➔",e17_diferenca_quadrados_q,,Vamos seguir passo a passo.
EF.09.MAT.2.93,e17_diferenca_quadrados_q,1,Ela diz apenas que \( a^2 \) é maior que \( b^2 \).,e17_corrige_dif,FALSE,Isso não captura o padrão de fatoração.
EF.09.MAT.2.93,e17_diferenca_quadrados_q,2,Ela mostra que a diferença de duas áreas quadradas pode ser vista como o produto da soma e da diferença dos lados.,e18_reflexao_final,TRUE,Excelente leitura geométrica.
EF.09.MAT.2.93,e17_diferenca_quadrados_q,3,"Ela é um truque sem sentido, usado só em exercícios.",e17_corrige_dif,FALSE,"Na verdade, essa relação aparece em muitos problemas reais."
EF.09.MAT.2.93,e17_corrige_dif,1,"Entendido, continuar ➔",e18_reflexao_final,,Vamos seguir passo a passo.
EF.09.MAT.2.93,e18_reflexao_final,1,Ela é apenas uma etapa burocrática antes de aplicar fórmulas.,e_final,TRUE,"Na prática, muitas vezes dispensa fórmulas."
EF.09.MAT.2.93,e18_reflexao_final,2,Ela só serve para polinômios 'bonitinhos'.,e_final,TRUE,Mesmo polinômios sem produto notável podem se beneficiar da tentativa de fatoração.
EF.09.MAT.2.93,e18_reflexao_final,3,"Ela permite enxergar o polinômio como produto, facilitando encontrar raízes pelo princípio do produto nulo.",e_final,TRUE,Excelente síntese.
EF.09.MAT.2.93,e_final,1,"Se \( x^2 - 10x + 25 = 0 \), então \( (x - 5)^2 = 0 \) e a única solução é \( x = 5 \).",,FALSE,
EF.09.MAT.2.93,e_final,2,"Se \( x^2 + 6x + 9 = 0 \), então \( (x + 3)^2 = 0 \) e a única solução é \( x = -3 \).",,FALSE,
EF.09.MAT.2.93,e_final,3,Trinômios que se encaixam em \( a^2 \pm 2ab + b^2 \) podem ser fatorados como \( (a \pm b)^2 \).,,FALSE,
EF.09.MAT.2.93,e_final,4,Todas as afirmativas acima estão corretas.,,TRUE,
EF.09.MAT.2.94,e1,1,Eu travo e só penso em 'fazer alguma conta' sem saber qual.,e2_nao_sabe,TRUE,Ótimo ponto de partida. Vamos descobrir o que significa simplificar.
EF.09.MAT.2.94,e1,2,"Eu tento somar tudo direto, como se fosse um número só.",e2_somar,TRUE,Vamos ver quando somar faz sentido e quando não.
EF.09.MAT.2.94,e1,3,Eu já olho se tem fator comum ou se parece com produto notável.,e2_avancado,TRUE,Excelente. Vamos aprofundar esse olhar.
EF.09.MAT.2.94,e1,4,Eu penso primeiro em substituir um valor para \( x \) e calcular.,e2_valor_numerico,TRUE,"Boa estratégia, mas simplificar antes costuma reduzir erros."
EF.09.MAT.2.94,e2_nao_sabe,1,"Entendido, continuar ➔",e3_expressao_visao,,Vamos seguir passo a passo.
EF.09.MAT.2.94,e2_somar,1,"Entendido, continuar ➔",e3_expressao_visao,,Vamos seguir passo a passo.
